Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.3, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 41, loss: 1.558037, train acc: 0.892167, train avg acc: 0.837677
Test 41, loss: 1.521225, test acc: 0.896677, test avg acc: 0.852797
Train 42, loss: 1.554486, train acc: 0.896073, train avg acc: 0.843515
Test 42, loss: 1.523163, test acc: 0.898703, test avg acc: 0.848593
Train 43, loss: 1.549933, train acc: 0.896896, train avg acc: 0.841370
Test 43, loss: 1.564824, test acc: 0.878039, test avg acc: 0.850337
Train 44, loss: 1.547991, train acc: 0.898951, train avg acc: 0.845874
Test 44, loss: 1.527013, test acc: 0.892220, test avg acc: 0.844430
Train 45, loss: 1.547906, train acc: 0.895559, train avg acc: 0.845602
Test 45, loss: 1.505577, test acc: 0.904781, test avg acc: 0.850262
Train 46, loss: 1.536844, train acc: 0.902447, train avg acc: 0.851459
Test 46, loss: 1.516149, test acc: 0.895462, test avg acc: 0.860436
Train 47, loss: 1.539108, train acc: 0.900493, train avg acc: 0.847664
Test 47, loss: 1.509686, test acc: 0.899109, test avg acc: 0.857547
Train 48, loss: 1.530469, train acc: 0.901624, train avg acc: 0.851387
Test 48, loss: 1.521656, test acc: 0.896272, test avg acc: 0.854762
Train 49, loss: 1.528026, train acc: 0.908203, train avg acc: 0.861720
Test 49, loss: 1.515381, test acc: 0.904376, test avg acc: 0.862965
Train 50, loss: 1.526723, train acc: 0.909025, train avg acc: 0.865331
Test 50, loss: 1.513159, test acc: 0.903160, test avg acc: 0.857052
Train 51, loss: 1.519914, train acc: 0.910465, train avg acc: 0.863795
Test 51, loss: 1.504867, test acc: 0.899514, test avg acc: 0.865924
Train 52, loss: 1.522722, train acc: 0.909128, train avg acc: 0.862808
Test 52, loss: 1.514030, test acc: 0.900324, test avg acc: 0.860105
Train 53, loss: 1.512361, train acc: 0.911184, train avg acc: 0.865369
Test 53, loss: 1.500746, test acc: 0.906402, test avg acc: 0.859128
Train 54, loss: 1.518503, train acc: 0.908820, train avg acc: 0.861962
Test 54, loss: 1.510170, test acc: 0.895462, test avg acc: 0.854831
Train 55, loss: 1.514829, train acc: 0.908512, train avg acc: 0.861401
Test 55, loss: 1.505068, test acc: 0.898298, test avg acc: 0.852017
Train 56, loss: 1.515652, train acc: 0.907895, train avg acc: 0.858796
Test 56, loss: 1.507406, test acc: 0.892220, test avg acc: 0.855302
Train 57, loss: 1.509628, train acc: 0.911287, train avg acc: 0.866931
Test 57, loss: 1.501335, test acc: 0.898298, test avg acc: 0.858640
Train 58, loss: 1.508032, train acc: 0.912932, train avg acc: 0.869391
Test 58, loss: 1.504076, test acc: 0.906807, test avg acc: 0.871227
Train 59, loss: 1.506256, train acc: 0.912726, train avg acc: 0.867081
Test 59, loss: 1.503598, test acc: 0.901540, test avg acc: 0.872547
Train 60, loss: 1.510052, train acc: 0.909231, train avg acc: 0.865593
Test 60, loss: 1.500335, test acc: 0.893436, test avg acc: 0.866587
Train 61, loss: 1.507734, train acc: 0.913137, train avg acc: 0.867070
Test 61, loss: 1.535446, test acc: 0.894652, test avg acc: 0.857762
Train 62, loss: 1.504499, train acc: 0.911904, train avg acc: 0.863671
Test 62, loss: 1.488981, test acc: 0.914506, test avg acc: 0.869372
Train 63, loss: 1.496334, train acc: 0.918174, train avg acc: 0.877134
Test 63, loss: 1.489132, test acc: 0.897893, test avg acc: 0.858430
Train 64, loss: 1.500564, train acc: 0.914474, train avg acc: 0.869233
Test 64, loss: 1.505673, test acc: 0.895867, test avg acc: 0.855919
Train 65, loss: 1.493169, train acc: 0.920641, train avg acc: 0.878958
Test 65, loss: 1.480881, test acc: 0.911264, test avg acc: 0.863953
Train 66, loss: 1.492765, train acc: 0.917660, train avg acc: 0.872319
Test 66, loss: 1.488276, test acc: 0.908023, test avg acc: 0.861965
Train 67, loss: 1.489379, train acc: 0.918380, train avg acc: 0.872748
Test 67, loss: 1.484111, test acc: 0.901540, test avg acc: 0.857593
Train 68, loss: 1.487433, train acc: 0.918791, train avg acc: 0.876322
Test 68, loss: 1.490750, test acc: 0.904376, test avg acc: 0.863035
Train 69, loss: 1.486816, train acc: 0.919511, train avg acc: 0.883172
Test 69, loss: 1.487197, test acc: 0.905186, test avg acc: 0.869703
Train 70, loss: 1.484118, train acc: 0.922595, train avg acc: 0.881889
Test 70, loss: 1.496795, test acc: 0.904781, test avg acc: 0.860331
Train 71, loss: 1.485964, train acc: 0.920744, train avg acc: 0.879322
Test 71, loss: 1.479774, test acc: 0.910049, test avg acc: 0.872250
Train 72, loss: 1.479168, train acc: 0.923417, train avg acc: 0.884396
Test 72, loss: 1.496041, test acc: 0.901945, test avg acc: 0.863610
Train 73, loss: 1.485378, train acc: 0.921772, train avg acc: 0.882927
Test 73, loss: 1.475348, test acc: 0.906402, test avg acc: 0.873337
Train 74, loss: 1.479861, train acc: 0.920333, train avg acc: 0.879738
Test 74, loss: 1.495588, test acc: 0.912480, test avg acc: 0.880802
Train 75, loss: 1.474884, train acc: 0.927426, train avg acc: 0.890763
Test 75, loss: 1.481923, test acc: 0.906807, test avg acc: 0.876541
Train 76, loss: 1.475433, train acc: 0.924856, train avg acc: 0.887849
Test 76, loss: 1.480555, test acc: 0.909643, test avg acc: 0.873273
Train 77, loss: 1.468561, train acc: 0.929585, train avg acc: 0.889956
Test 77, loss: 1.494941, test acc: 0.901135, test avg acc: 0.862349
Train 78, loss: 1.475879, train acc: 0.923931, train avg acc: 0.887098
Test 78, loss: 1.475900, test acc: 0.914911, test avg acc: 0.879831
Train 79, loss: 1.468945, train acc: 0.930818, train avg acc: 0.895934
Test 79, loss: 1.489815, test acc: 0.900729, test avg acc: 0.865076
Train 80, loss: 1.468268, train acc: 0.928968, train avg acc: 0.894042
Test 80, loss: 1.470640, test acc: 0.913695, test avg acc: 0.886291
Train 81, loss: 1.469817, train acc: 0.923931, train avg acc: 0.884843
Test 81, loss: 1.474571, test acc: 0.911264, test avg acc: 0.874913
Train 82, loss: 1.469329, train acc: 0.926809, train avg acc: 0.885727
Test 82, loss: 1.474787, test acc: 0.907212, test avg acc: 0.868122
Train 83, loss: 1.461721, train acc: 0.930613, train avg acc: 0.898703
Test 83, loss: 1.495839, test acc: 0.897893, test avg acc: 0.868645
Train 84, loss: 1.457256, train acc: 0.934416, train avg acc: 0.899687
Test 84, loss: 1.469782, test acc: 0.904781, test avg acc: 0.874953
Train 85, loss: 1.459197, train acc: 0.932977, train avg acc: 0.897646
Test 85, loss: 1.477802, test acc: 0.911669, test avg acc: 0.881872
Train 86, loss: 1.457828, train acc: 0.929482, train avg acc: 0.893029
Test 86, loss: 1.483720, test acc: 0.903971, test avg acc: 0.887465
Train 87, loss: 1.451148, train acc: 0.938631, train avg acc: 0.908212
Test 87, loss: 1.493991, test acc: 0.903566, test avg acc: 0.875215
Train 88, loss: 1.460749, train acc: 0.929585, train avg acc: 0.893760
Test 88, loss: 1.504971, test acc: 0.901135, test avg acc: 0.871471
Train 89, loss: 1.456756, train acc: 0.934108, train avg acc: 0.900317
Test 89, loss: 1.474849, test acc: 0.902755, test avg acc: 0.871860
Train 90, loss: 1.451434, train acc: 0.933902, train avg acc: 0.899950
Test 90, loss: 1.490294, test acc: 0.907618, test avg acc: 0.873372
Train 91, loss: 1.455803, train acc: 0.933594, train avg acc: 0.902913
Test 91, loss: 1.482086, test acc: 0.901135, test avg acc: 0.876430
