Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.7, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 41, loss: 1.773793, train acc: 0.835218, train avg acc: 0.736708
Test 41, loss: 1.613505, test acc: 0.878444, test avg acc: 0.802390
Train 42, loss: 1.770197, train acc: 0.834190, train avg acc: 0.736069
Test 42, loss: 1.603411, test acc: 0.880470, test avg acc: 0.807070
Train 43, loss: 1.759308, train acc: 0.839844, train avg acc: 0.744801
Test 43, loss: 1.616266, test acc: 0.875608, test avg acc: 0.810843
Train 44, loss: 1.759670, train acc: 0.838713, train avg acc: 0.738937
Test 44, loss: 1.583510, test acc: 0.890194, test avg acc: 0.808837
Train 45, loss: 1.753092, train acc: 0.847142, train avg acc: 0.754845
Test 45, loss: 1.586018, test acc: 0.893031, test avg acc: 0.824390
Train 46, loss: 1.745634, train acc: 0.845806, train avg acc: 0.752105
Test 46, loss: 1.590984, test acc: 0.890600, test avg acc: 0.816645
Train 47, loss: 1.742260, train acc: 0.847553, train avg acc: 0.755549
Test 47, loss: 1.593583, test acc: 0.889789, test avg acc: 0.835895
Train 48, loss: 1.738761, train acc: 0.854338, train avg acc: 0.766347
Test 48, loss: 1.583643, test acc: 0.891815, test avg acc: 0.821680
Train 49, loss: 1.732414, train acc: 0.851254, train avg acc: 0.765209
Test 49, loss: 1.579384, test acc: 0.895462, test avg acc: 0.830424
Train 50, loss: 1.734656, train acc: 0.854030, train avg acc: 0.764858
Test 50, loss: 1.581770, test acc: 0.886143, test avg acc: 0.816517
Train 51, loss: 1.723188, train acc: 0.858141, train avg acc: 0.770776
Test 51, loss: 1.598445, test acc: 0.880470, test avg acc: 0.823901
Train 52, loss: 1.725151, train acc: 0.852385, train avg acc: 0.763500
Test 52, loss: 1.601008, test acc: 0.870746, test avg acc: 0.802297
Train 53, loss: 1.715151, train acc: 0.857627, train avg acc: 0.771839
Test 53, loss: 1.566305, test acc: 0.886953, test avg acc: 0.821233
Train 54, loss: 1.715066, train acc: 0.859272, train avg acc: 0.773181
Test 54, loss: 1.559806, test acc: 0.895462, test avg acc: 0.835209
Train 55, loss: 1.703713, train acc: 0.864515, train avg acc: 0.784146
Test 55, loss: 1.570322, test acc: 0.886953, test avg acc: 0.831279
Train 56, loss: 1.708891, train acc: 0.860197, train avg acc: 0.774210
Test 56, loss: 1.563735, test acc: 0.897083, test avg acc: 0.836047
Train 57, loss: 1.703061, train acc: 0.863590, train avg acc: 0.784632
Test 57, loss: 1.570728, test acc: 0.891815, test avg acc: 0.828837
Train 58, loss: 1.695861, train acc: 0.867599, train avg acc: 0.785900
Test 58, loss: 1.554720, test acc: 0.893436, test avg acc: 0.831221
Train 59, loss: 1.697361, train acc: 0.865748, train avg acc: 0.784869
Test 59, loss: 1.548239, test acc: 0.897893, test avg acc: 0.830512
Train 60, loss: 1.702454, train acc: 0.861739, train avg acc: 0.781530
Test 60, loss: 1.549870, test acc: 0.902755, test avg acc: 0.846680
Train 61, loss: 1.699606, train acc: 0.861842, train avg acc: 0.782058
Test 61, loss: 1.546975, test acc: 0.903971, test avg acc: 0.850837
Train 62, loss: 1.691030, train acc: 0.867701, train avg acc: 0.789283
Test 62, loss: 1.547364, test acc: 0.891410, test avg acc: 0.834692
Train 63, loss: 1.682909, train acc: 0.873972, train avg acc: 0.799405
Test 63, loss: 1.555725, test acc: 0.891005, test avg acc: 0.831855
Train 64, loss: 1.687429, train acc: 0.869757, train avg acc: 0.790485
Test 64, loss: 1.546441, test acc: 0.901135, test avg acc: 0.844424
Train 65, loss: 1.681835, train acc: 0.870169, train avg acc: 0.791831
Test 65, loss: 1.535243, test acc: 0.898703, test avg acc: 0.833733
Train 66, loss: 1.672290, train acc: 0.875000, train avg acc: 0.800314
Test 66, loss: 1.539392, test acc: 0.899919, test avg acc: 0.835547
Train 67, loss: 1.672946, train acc: 0.875000, train avg acc: 0.798666
Test 67, loss: 1.542426, test acc: 0.899919, test avg acc: 0.847297
Train 68, loss: 1.672575, train acc: 0.875308, train avg acc: 0.801319
Test 68, loss: 1.542768, test acc: 0.898703, test avg acc: 0.841297
Train 69, loss: 1.671203, train acc: 0.875206, train avg acc: 0.801314
Test 69, loss: 1.543512, test acc: 0.891815, test avg acc: 0.837767
Train 70, loss: 1.660443, train acc: 0.877878, train avg acc: 0.805432
Test 70, loss: 1.536113, test acc: 0.900324, test avg acc: 0.842831
Train 71, loss: 1.666704, train acc: 0.876542, train avg acc: 0.801916
Test 71, loss: 1.533709, test acc: 0.901135, test avg acc: 0.841628
Train 72, loss: 1.661638, train acc: 0.876542, train avg acc: 0.807300
Test 72, loss: 1.542240, test acc: 0.895057, test avg acc: 0.840023
Train 73, loss: 1.660858, train acc: 0.877262, train avg acc: 0.806674
Test 73, loss: 1.532406, test acc: 0.903566, test avg acc: 0.852750
Train 74, loss: 1.655343, train acc: 0.880345, train avg acc: 0.807226
Test 74, loss: 1.531925, test acc: 0.906402, test avg acc: 0.861517
Train 75, loss: 1.650800, train acc: 0.885074, train avg acc: 0.815157
Test 75, loss: 1.528769, test acc: 0.902755, test avg acc: 0.841006
Train 76, loss: 1.653967, train acc: 0.883429, train avg acc: 0.813779
Test 76, loss: 1.516097, test acc: 0.908833, test avg acc: 0.850465
Train 77, loss: 1.646831, train acc: 0.884766, train avg acc: 0.815258
Test 77, loss: 1.516723, test acc: 0.904376, test avg acc: 0.851436
Train 78, loss: 1.648247, train acc: 0.885999, train avg acc: 0.818366
Test 78, loss: 1.533478, test acc: 0.901540, test avg acc: 0.848721
Train 79, loss: 1.645585, train acc: 0.885588, train avg acc: 0.818058
Test 79, loss: 1.518211, test acc: 0.903566, test avg acc: 0.854140
Train 80, loss: 1.643850, train acc: 0.886719, train avg acc: 0.817846
Test 80, loss: 1.511866, test acc: 0.912885, test avg acc: 0.859203
Train 81, loss: 1.638358, train acc: 0.889289, train avg acc: 0.822921
Test 81, loss: 1.511605, test acc: 0.909238, test avg acc: 0.855128
Train 82, loss: 1.637535, train acc: 0.889289, train avg acc: 0.823019
Test 82, loss: 1.540547, test acc: 0.897488, test avg acc: 0.838808
Train 83, loss: 1.638878, train acc: 0.888466, train avg acc: 0.823822
Test 83, loss: 1.531149, test acc: 0.904376, test avg acc: 0.841134
Train 84, loss: 1.629170, train acc: 0.891242, train avg acc: 0.828441
Test 84, loss: 1.508091, test acc: 0.908428, test avg acc: 0.859128
Train 85, loss: 1.635813, train acc: 0.888363, train avg acc: 0.823696
Test 85, loss: 1.525624, test acc: 0.901135, test avg acc: 0.855628
Train 86, loss: 1.629133, train acc: 0.889905, train avg acc: 0.827145
Test 86, loss: 1.528267, test acc: 0.897083, test avg acc: 0.852436
Train 87, loss: 1.636032, train acc: 0.885485, train avg acc: 0.817789
Test 87, loss: 1.514770, test acc: 0.909238, test avg acc: 0.852244
Train 88, loss: 1.629609, train acc: 0.892167, train avg acc: 0.829473
Test 88, loss: 1.518672, test acc: 0.908023, test avg acc: 0.861291
Train 89, loss: 1.627734, train acc: 0.891036, train avg acc: 0.821651
Test 89, loss: 1.521988, test acc: 0.897893, test avg acc: 0.854692
Train 90, loss: 1.620805, train acc: 0.893812, train avg acc: 0.830202
Test 90, loss: 1.515298, test acc: 0.904376, test avg acc: 0.843680
Train 91, loss: 1.620427, train acc: 0.894737, train avg acc: 0.830499
Test 91, loss: 1.503349, test acc: 0.909643, test avg acc: 0.854791
Train 92, loss: 1.613410, train acc: 0.895559, train avg acc: 0.834353
Test 92, loss: 1.510881, test acc: 0.906807, test avg acc: 0.854291
Train 93, loss: 1.618829, train acc: 0.894223, train avg acc: 0.830408
Test 93, loss: 1.512574, test acc: 0.903971, test avg acc: 0.854837
Train 94, loss: 1.619033, train acc: 0.892989, train avg acc: 0.830239
Test 94, loss: 1.519492, test acc: 0.902755, test avg acc: 0.839302
Train 95, loss: 1.608027, train acc: 0.899671, train avg acc: 0.835466
Test 95, loss: 1.504218, test acc: 0.905186, test avg acc: 0.853302
Train 96, loss: 1.614259, train acc: 0.898232, train avg acc: 0.837227
Test 96, loss: 1.500686, test acc: 0.911264, test avg acc: 0.861878
Train 97, loss: 1.606389, train acc: 0.898849, train avg acc: 0.838864
Test 97, loss: 1.493132, test acc: 0.910859, test avg acc: 0.862500
Train 98, loss: 1.614917, train acc: 0.896587, train avg acc: 0.836977
Test 98, loss: 1.492081, test acc: 0.916126, test avg acc: 0.870756
Train 99, loss: 1.611697, train acc: 0.898438, train avg acc: 0.839741
Test 99, loss: 1.492673, test acc: 0.914911, test avg acc: 0.866122
