Namespace(exp_name='train', dataset='modelnet40', batch_size=32, test_batch_size=32, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, model_path='', resume='/home/oem/project/RST/checkpoints/train/models/model.t7', ratio=8, use_conv=9, max_iter=6, output_dir='/home/oem/project/RST/checkpoints/path', checkpoint_path='/home/oem/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Namespace(exp_name='train', dataset='modelnet40', batch_size=32, test_batch_size=32, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Test 37, loss: 1.528256, test acc: 0.893841, test avg acc: 0.841674
Train 38, loss: 1.622959, train acc: 0.872659, train avg acc: 0.805693
Test 38, loss: 1.544345, test acc: 0.900324, test avg acc: 0.861000
Train 39, loss: 1.616323, train acc: 0.880497, train avg acc: 0.818253
Test 39, loss: 1.539990, test acc: 0.896272, test avg acc: 0.850250
Train 40, loss: 1.616725, train acc: 0.880497, train avg acc: 0.816685
Test 40, loss: 1.526002, test acc: 0.900729, test avg acc: 0.846203
Train 41, loss: 1.613254, train acc: 0.883347, train avg acc: 0.823081
Test 41, loss: 1.513414, test acc: 0.908833, test avg acc: 0.855285
Train 42, loss: 1.604287, train acc: 0.884976, train avg acc: 0.823415
Test 42, loss: 1.532133, test acc: 0.886953, test avg acc: 0.829244
Train 43, loss: 1.614060, train acc: 0.881006, train avg acc: 0.819725
Test 43, loss: 1.533796, test acc: 0.893841, test avg acc: 0.864227
Train 44, loss: 1.594274, train acc: 0.887215, train avg acc: 0.825185
Test 44, loss: 1.511259, test acc: 0.902350, test avg acc: 0.852599
Train 45, loss: 1.602426, train acc: 0.887520, train avg acc: 0.833041
Test 45, loss: 1.520163, test acc: 0.901135, test avg acc: 0.849680
Train 46, loss: 1.602250, train acc: 0.884772, train avg acc: 0.824269
Test 46, loss: 1.507785, test acc: 0.907212, test avg acc: 0.858843
Train 47, loss: 1.595845, train acc: 0.885586, train avg acc: 0.826199
Test 47, loss: 1.511209, test acc: 0.899109, test avg acc: 0.847640
Train 48, loss: 1.585249, train acc: 0.890879, train avg acc: 0.836326
Test 48, loss: 1.538228, test acc: 0.893436, test avg acc: 0.857820
Train 49, loss: 1.597219, train acc: 0.884161, train avg acc: 0.822839
Test 49, loss: 1.510720, test acc: 0.903971, test avg acc: 0.847552
Train 50, loss: 1.591250, train acc: 0.890981, train avg acc: 0.836087
Test 50, loss: 1.508341, test acc: 0.903160, test avg acc: 0.861924
Train 51, loss: 1.584500, train acc: 0.892712, train avg acc: 0.838109
Test 51, loss: 1.500177, test acc: 0.908428, test avg acc: 0.864047
Train 52, loss: 1.586995, train acc: 0.890472, train avg acc: 0.832978
Test 52, loss: 1.513497, test acc: 0.904781, test avg acc: 0.869174
Train 53, loss: 1.584240, train acc: 0.896580, train avg acc: 0.841136
Test 53, loss: 1.485803, test acc: 0.914911, test avg acc: 0.870500
Train 54, loss: 1.582431, train acc: 0.889556, train avg acc: 0.832532
Test 54, loss: 1.491896, test acc: 0.914506, test avg acc: 0.869953
Train 55, loss: 1.572494, train acc: 0.898107, train avg acc: 0.845999
Test 55, loss: 1.496208, test acc: 0.907212, test avg acc: 0.864221
Train 56, loss: 1.579034, train acc: 0.895358, train avg acc: 0.838537
Test 56, loss: 1.491563, test acc: 0.908428, test avg acc: 0.870331
Train 57, loss: 1.562908, train acc: 0.900550, train avg acc: 0.849873
Test 57, loss: 1.515127, test acc: 0.903971, test avg acc: 0.869093
Train 58, loss: 1.569483, train acc: 0.897801, train avg acc: 0.840351
Test 58, loss: 1.507628, test acc: 0.907212, test avg acc: 0.855849
Train 59, loss: 1.568382, train acc: 0.899125, train avg acc: 0.842273
Test 59, loss: 1.503132, test acc: 0.903160, test avg acc: 0.862355
Train 60, loss: 1.566085, train acc: 0.901262, train avg acc: 0.850398
Test 60, loss: 1.497051, test acc: 0.905997, test avg acc: 0.863971
Train 61, loss: 1.564696, train acc: 0.898107, train avg acc: 0.847654
Test 61, loss: 1.495906, test acc: 0.912075, test avg acc: 0.866919
Train 62, loss: 1.563358, train acc: 0.902687, train avg acc: 0.852644
Test 62, loss: 1.496449, test acc: 0.906402, test avg acc: 0.860744
Train 63, loss: 1.561206, train acc: 0.902280, train avg acc: 0.851557
Test 63, loss: 1.513112, test acc: 0.890194, test avg acc: 0.853145
Train 64, loss: 1.560198, train acc: 0.903196, train avg acc: 0.851418
Test 64, loss: 1.498972, test acc: 0.907212, test avg acc: 0.875366
Train 65, loss: 1.555350, train acc: 0.903502, train avg acc: 0.851586
Test 65, loss: 1.509726, test acc: 0.902350, test avg acc: 0.858314
Train 66, loss: 1.558458, train acc: 0.905945, train avg acc: 0.856714
Test 66, loss: 1.496235, test acc: 0.903566, test avg acc: 0.863581
Train 67, loss: 1.553798, train acc: 0.904214, train avg acc: 0.852795
Test 67, loss: 1.512174, test acc: 0.901540, test avg acc: 0.850587
Train 68, loss: 1.551679, train acc: 0.905029, train avg acc: 0.856838
Test 68, loss: 1.500881, test acc: 0.904376, test avg acc: 0.855930
Train 69, loss: 1.546274, train acc: 0.908795, train avg acc: 0.859021
Test 69, loss: 1.499192, test acc: 0.914911, test avg acc: 0.883169
Train 70, loss: 1.552875, train acc: 0.906963, train avg acc: 0.863770
Test 70, loss: 1.506616, test acc: 0.898703, test avg acc: 0.863959
Train 71, loss: 1.542731, train acc: 0.907573, train avg acc: 0.861108
Test 71, loss: 1.493992, test acc: 0.911669, test avg acc: 0.888384
Train 72, loss: 1.548783, train acc: 0.906657, train avg acc: 0.857984
Test 72, loss: 1.498488, test acc: 0.899514, test avg acc: 0.868791
Train 73, loss: 1.546603, train acc: 0.907166, train avg acc: 0.857936
Test 73, loss: 1.487164, test acc: 0.908833, test avg acc: 0.878715
Train 74, loss: 1.546566, train acc: 0.907777, train avg acc: 0.861359
Test 74, loss: 1.487470, test acc: 0.905997, test avg acc: 0.864337
Train 75, loss: 1.547328, train acc: 0.903909, train avg acc: 0.854959
Test 75, loss: 1.474265, test acc: 0.916937, test avg acc: 0.884372
Train 76, loss: 1.536703, train acc: 0.911543, train avg acc: 0.863966
Test 76, loss: 1.483848, test acc: 0.911264, test avg acc: 0.874558
Train 77, loss: 1.544009, train acc: 0.908897, train avg acc: 0.865139
Test 77, loss: 1.493000, test acc: 0.909643, test avg acc: 0.875302
Train 78, loss: 1.543166, train acc: 0.906963, train avg acc: 0.856116
Test 78, loss: 1.477486, test acc: 0.916126, test avg acc: 0.873785
Train 79, loss: 1.539225, train acc: 0.911238, train avg acc: 0.863255
Test 79, loss: 1.490646, test acc: 0.902755, test avg acc: 0.875238
Train 80, loss: 1.534362, train acc: 0.914699, train avg acc: 0.873921
Test 80, loss: 1.480147, test acc: 0.908023, test avg acc: 0.864552
Train 81, loss: 1.533917, train acc: 0.913477, train avg acc: 0.869420
Test 81, loss: 1.501509, test acc: 0.897488, test avg acc: 0.857267
Train 82, loss: 1.533736, train acc: 0.913681, train avg acc: 0.871365
Test 82, loss: 1.469563, test acc: 0.916126, test avg acc: 0.876919
Train 83, loss: 1.531820, train acc: 0.914495, train avg acc: 0.869059
Test 83, loss: 1.480681, test acc: 0.907618, test avg acc: 0.869198
Train 84, loss: 1.535659, train acc: 0.911645, train avg acc: 0.863212
Test 84, loss: 1.485383, test acc: 0.907618, test avg acc: 0.865953
Train 85, loss: 1.535431, train acc: 0.914495, train avg acc: 0.871560
Test 85, loss: 1.478403, test acc: 0.906807, test avg acc: 0.867890
Train 86, loss: 1.532009, train acc: 0.911543, train avg acc: 0.868544
Test 86, loss: 1.497333, test acc: 0.903566, test avg acc: 0.874488
Train 87, loss: 1.530945, train acc: 0.916531, train avg acc: 0.874313
Test 87, loss: 1.483353, test acc: 0.916126, test avg acc: 0.875163
Train 88, loss: 1.534440, train acc: 0.909813, train avg acc: 0.864302
Test 88, loss: 1.485351, test acc: 0.904376, test avg acc: 0.871453
Train 89, loss: 1.526447, train acc: 0.915411, train avg acc: 0.871560
Test 89, loss: 1.478727, test acc: 0.908023, test avg acc: 0.864884
Train 90, loss: 1.528771, train acc: 0.913783, train avg acc: 0.870710
Test 90, loss: 1.495852, test acc: 0.907618, test avg acc: 0.877006
Train 91, loss: 1.520220, train acc: 0.918567, train avg acc: 0.877723
Test 91, loss: 1.469409, test acc: 0.918152, test avg acc: 0.870291
Train 92, loss: 1.526558, train acc: 0.914393, train avg acc: 0.873423
Test 92, loss: 1.463940, test acc: 0.914911, test avg acc: 0.872215
Train 93, loss: 1.523432, train acc: 0.918160, train avg acc: 0.876868
Test 93, loss: 1.498597, test acc: 0.906807, test avg acc: 0.872674
Train 94, loss: 1.521129, train acc: 0.917243, train avg acc: 0.875684
Test 94, loss: 1.470946, test acc: 0.912075, test avg acc: 0.868581
Train 95, loss: 1.514429, train acc: 0.922842, train avg acc: 0.881314
Test 95, loss: 1.488244, test acc: 0.902350, test avg acc: 0.877663
Train 96, loss: 1.517169, train acc: 0.920501, train avg acc: 0.878955
Test 96, loss: 1.480711, test acc: 0.912480, test avg acc: 0.874541
Train 97, loss: 1.517941, train acc: 0.919890, train avg acc: 0.876547
Test 97, loss: 1.477875, test acc: 0.917747, test avg acc: 0.876831
Train 98, loss: 1.523617, train acc: 0.914800, train avg acc: 0.872007
Test 98, loss: 1.465433, test acc: 0.917342, test avg acc: 0.874006
Train 99, loss: 1.520600, train acc: 0.919788, train avg acc: 0.875472
Test 99, loss: 1.484384, test acc: 0.908833, test avg acc: 0.866587
Train 100, loss: 1.518428, train acc: 0.917142, train avg acc: 0.874729
Test 100, loss: 1.460425, test acc: 0.914100, test avg acc: 0.877547
Train 101, loss: 1.517618, train acc: 0.919076, train avg acc: 0.876197
Test 101, loss: 1.487737, test acc: 0.905997, test avg acc: 0.866198
Train 102, loss: 1.517712, train acc: 0.919076, train avg acc: 0.876014
Test 102, loss: 1.476204, test acc: 0.915316, test avg acc: 0.872500
Train 103, loss: 1.516771, train acc: 0.920501, train avg acc: 0.878313
Test 103, loss: 1.484945, test acc: 0.901135, test avg acc: 0.869035
Train 104, loss: 1.513071, train acc: 0.920806, train avg acc: 0.877778
Test 104, loss: 1.468705, test acc: 0.917342, test avg acc: 0.878703
Train 105, loss: 1.522180, train acc: 0.915818, train avg acc: 0.874216
Test 105, loss: 1.478160, test acc: 0.903566, test avg acc: 0.861343
Train 106, loss: 1.520877, train acc: 0.917752, train avg acc: 0.880591
Test 106, loss: 1.464518, test acc: 0.916126, test avg acc: 0.875000
Train 107, loss: 1.514556, train acc: 0.916531, train avg acc: 0.873998
Test 107, loss: 1.482017, test acc: 0.911669, test avg acc: 0.870297
Train 108, loss: 1.516300, train acc: 0.921417, train avg acc: 0.882880
Test 108, loss: 1.495728, test acc: 0.899109, test avg acc: 0.882872
Train 109, loss: 1.508643, train acc: 0.924980, train avg acc: 0.889101
Test 109, loss: 1.475573, test acc: 0.912075, test avg acc: 0.882709
Train 110, loss: 1.509974, train acc: 0.922842, train avg acc: 0.885655
Test 110, loss: 1.463702, test acc: 0.915316, test avg acc: 0.875872
Train 111, loss: 1.511873, train acc: 0.921824, train avg acc: 0.881120
Test 111, loss: 1.475137, test acc: 0.920583, test avg acc: 0.873657
Train 112, loss: 1.509081, train acc: 0.923046, train avg acc: 0.883632
Test 112, loss: 1.468681, test acc: 0.914100, test avg acc: 0.881587
Train 113, loss: 1.510061, train acc: 0.920195, train avg acc: 0.878286
Test 113, loss: 1.474518, test acc: 0.910454, test avg acc: 0.868744
Train 114, loss: 1.510857, train acc: 0.923249, train avg acc: 0.884917
Test 114, loss: 1.465317, test acc: 0.912885, test avg acc: 0.879547
Train 115, loss: 1.500339, train acc: 0.929153, train avg acc: 0.896532
Test 115, loss: 1.472098, test acc: 0.917747, test avg acc: 0.889262
Train 116, loss: 1.506341, train acc: 0.925794, train avg acc: 0.886075
Test 116, loss: 1.479447, test acc: 0.907212, test avg acc: 0.885337
Train 117, loss: 1.501966, train acc: 0.925794, train avg acc: 0.888939
Test 117, loss: 1.481602, test acc: 0.908023, test avg acc: 0.876913
Train 118, loss: 1.503756, train acc: 0.925998, train avg acc: 0.886576
Test 118, loss: 1.469502, test acc: 0.916126, test avg acc: 0.890087
Train 119, loss: 1.506748, train acc: 0.924064, train avg acc: 0.885606
Test 119, loss: 1.477634, test acc: 0.917342, test avg acc: 0.890250
Train 120, loss: 1.501897, train acc: 0.929764, train avg acc: 0.893412
Test 120, loss: 1.478924, test acc: 0.905592, test avg acc: 0.879744
Train 121, loss: 1.503543, train acc: 0.926201, train avg acc: 0.888816
Test 121, loss: 1.467560, test acc: 0.919773, test avg acc: 0.882244
Train 122, loss: 1.496503, train acc: 0.926303, train avg acc: 0.885666
Test 122, loss: 1.472884, test acc: 0.916937, test avg acc: 0.876250
Train 123, loss: 1.495767, train acc: 0.930476, train avg acc: 0.896518
Test 123, loss: 1.467931, test acc: 0.916532, test avg acc: 0.875215
Train 124, loss: 1.496745, train acc: 0.927423, train avg acc: 0.887812
Test 124, loss: 1.467987, test acc: 0.911669, test avg acc: 0.873826
Train 125, loss: 1.499970, train acc: 0.925285, train avg acc: 0.887512
Test 125, loss: 1.477958, test acc: 0.914506, test avg acc: 0.881087
Train 126, loss: 1.492169, train acc: 0.930476, train avg acc: 0.896970
Test 126, loss: 1.481347, test acc: 0.908023, test avg acc: 0.871715
Train 127, loss: 1.497322, train acc: 0.926507, train avg acc: 0.889547
Test 127, loss: 1.461521, test acc: 0.909643, test avg acc: 0.875541
Train 128, loss: 1.496644, train acc: 0.927219, train avg acc: 0.889823
Test 128, loss: 1.467550, test acc: 0.913695, test avg acc: 0.881407
Train 129, loss: 1.495850, train acc: 0.927932, train avg acc: 0.889387
Test 129, loss: 1.473074, test acc: 0.910049, test avg acc: 0.878890
Train 130, loss: 1.493140, train acc: 0.932207, train avg acc: 0.899471
Test 130, loss: 1.461771, test acc: 0.917342, test avg acc: 0.883337
Train 131, loss: 1.498947, train acc: 0.924776, train avg acc: 0.885082
Test 131, loss: 1.467555, test acc: 0.907212, test avg acc: 0.869413
Train 132, loss: 1.491125, train acc: 0.929051, train avg acc: 0.890478
Test 132, loss: 1.458565, test acc: 0.918558, test avg acc: 0.878087
Train 133, loss: 1.492590, train acc: 0.930375, train avg acc: 0.893994
Test 133, loss: 1.460974, test acc: 0.919368, test avg acc: 0.886919
Train 134, loss: 1.492287, train acc: 0.928644, train avg acc: 0.893337
Test 134, loss: 1.478611, test acc: 0.914100, test avg acc: 0.887669
Train 135, loss: 1.486228, train acc: 0.930069, train avg acc: 0.893724
Test 135, loss: 1.458338, test acc: 0.913695, test avg acc: 0.876291
Train 136, loss: 1.487515, train acc: 0.933632, train avg acc: 0.899625
Test 136, loss: 1.461095, test acc: 0.914506, test avg acc: 0.886122
Train 137, loss: 1.491792, train acc: 0.929458, train avg acc: 0.894032
Test 137, loss: 1.472223, test acc: 0.907618, test avg acc: 0.882703
Train 138, loss: 1.493477, train acc: 0.928746, train avg acc: 0.893237
Test 138, loss: 1.467696, test acc: 0.907618, test avg acc: 0.873547
Train 139, loss: 1.493580, train acc: 0.929357, train avg acc: 0.893239
Test 139, loss: 1.459404, test acc: 0.913290, test avg acc: 0.887180
Train 140, loss: 1.488472, train acc: 0.930884, train avg acc: 0.895990
Test 140, loss: 1.482709, test acc: 0.900729, test avg acc: 0.882180
Train 141, loss: 1.495547, train acc: 0.927219, train avg acc: 0.889069
Test 141, loss: 1.468450, test acc: 0.916532, test avg acc: 0.890000
Train 142, loss: 1.489639, train acc: 0.930985, train avg acc: 0.896431
Test 142, loss: 1.458980, test acc: 0.916532, test avg acc: 0.869535
Train 143, loss: 1.481782, train acc: 0.935464, train avg acc: 0.903856
Test 143, loss: 1.454161, test acc: 0.924635, test avg acc: 0.877291
Train 144, loss: 1.488402, train acc: 0.930782, train avg acc: 0.894314
Test 144, loss: 1.468488, test acc: 0.917747, test avg acc: 0.894622
Train 145, loss: 1.488477, train acc: 0.930985, train avg acc: 0.896234
Test 145, loss: 1.458029, test acc: 0.917747, test avg acc: 0.876134
Train 146, loss: 1.478641, train acc: 0.936380, train avg acc: 0.903305
Test 146, loss: 1.483316, test acc: 0.905186, test avg acc: 0.885419
Train 147, loss: 1.489110, train acc: 0.931800, train avg acc: 0.898823
Test 147, loss: 1.483149, test acc: 0.904376, test avg acc: 0.882122
Train 148, loss: 1.491262, train acc: 0.930171, train avg acc: 0.894009
Test 148, loss: 1.460385, test acc: 0.917747, test avg acc: 0.885820
Train 149, loss: 1.487297, train acc: 0.929560, train avg acc: 0.893600
Test 149, loss: 1.459716, test acc: 0.912480, test avg acc: 0.870552
Train 150, loss: 1.479303, train acc: 0.936075, train avg acc: 0.906071
Test 150, loss: 1.488044, test acc: 0.904376, test avg acc: 0.885006
